"Entidad","Nit Entidad","Departamento Entidad","Ciudad Entidad","OrdenEntidad","Entidad Centralizada","ID del Proceso","Referencia del Proceso","PCI","ID del Portafolio","Nombre del Procedimiento","Descripción del Procedimiento","Fase","Fecha de Publicacion del Proceso","Fecha de Ultima Publicación","Fecha de Publicacion (Fase Planeacion Precalificacion)","Fecha de Publicacion (Fase Seleccion Precalificacion)","Fecha de Publicacion (Manifestacion de Interes)","Fecha de Publicacion (Fase Borrador)","Fecha de Publicacion (Fase Seleccion)","Precio Base","Modalidad de Contratacion","Justificación Modalidad de Contratación","Duracion","Unidad de Duracion","Fecha de Recepcion de Respuestas","Fecha de Apertura de Respuesta","Fecha de Apertura Efectiva","Ciudad de la Unidad de Contratación","Nombre de la Unidad de Contratación","Proveedores Invitados","Proveedores con Invitacion Directa","Visualizaciones del Procedimiento","Proveedores que Manifestaron Interes","Respuestas al Procedimiento","Respuestas Externas","Conteo de Respuestas a Ofertas","Proveedores Unicos con Respuestas","Numero de Lotes","Estado del Procedimiento","ID Estado del Procedimiento","Adjudicado","ID Adjudicacion","CodigoProveedor","Departamento Proveedor","Ciudad Proveedor","Fecha Adjudicacion","Valor Total Adjudicacion","Nombre del Adjudicador","Nombre del Proveedor Adjudicado","NIT del Proveedor Adjudicado","Codigo Principal de Categoria","Estado de Apertura del Proceso","Tipo de Contrato","Subtipo de Contrato","Categorias Adicionales","URLProceso","Codigo Entidad"
"MUNICIPIO DE YOPAL...","891855017","Casanare","Yopal","Territorial","Centralizada","CO1.REQ.9859086","MYCA-SDE-CD-049-2026","702445891","CO1.BDOS.9691355","DESARROLLAR LOS COMPONENTES DE ASOCIATIVIDAD Y PARTICIPACIÓN COMUNITARIA PARA LA EJECUCIÓN DEL SERVICIO DE EXTENSIÓN AGROPECUARIA A PRODUCTORES AGROPECUARIOS DE LOS CORREGIMIENTOS DE MORRO; ALCARAVÁN","DESARROLLAR LOS COMPONENTES DE ASOCIATIVIDAD Y PARTICIPACIÓN COMUNITARIA PARA LA EJECUCIÓN DEL SERVICIO DE EXTENSIÓN AGROPECUARIA A PRODUCTORES AGROPECUARIOS DE LOS CORREGIMIENTOS DE MORRO, ALCARAVÁN LA NIATA, CHAPARRERA, TALADRO Y CHARTE DEL MUNICIPIO DE YOPAL","Presentación de oferta",,,,,,,,"$27,000,000","Contratación directa","Servicios profesionales y apoyo a la gestión","6","Mes(es)",,,,"No Aplica","CONTRATACION DIRECTA *","0","0","0","0","0","0","0","0","0","Seleccionado","70","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111620","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/Public/Tendering/OpportunityDetail/Index?noticeUID=CO1.NTC.9705602","702,445,891"
"EMPRESA SOCIAL DEL ESTADO HOSPITAL LOCAL DE ALGARROBO","819003618","Magdalena","Algarrobo","Territorial","Centralizada","CO1.REQ.10307843","MAR01-2026-30","703951301","CO1.BDOS.10136219","RESTACION DE SERVICIOS COMO PROMOTOR DE SALUD PARA LA EJECUCION DE LAS ACTIVIDADES COMO PARTE DE LOS EQUIPOS BASICOS DE SALUD EBS CONTRATADOS POR LA E.S.E. HOSPITAL LOCAL DE ALGARROBO;","RESTACION DE SERVICIOS COMO PROMOTOR DE SALUD PARA LA EJECUCION DE LAS ACTIVIDADES COMO PARTE DE LOS EQUIPOS BASICOS DE SALUD EBS CONTRATADOS POR LA E.S.E. HOSPITAL LOCAL DE ALGARROBO,",,,,,,,,,"$2,500,000","Contratación régimen especial","Decreto 092 de 2017","31","día(s)",,,,"Algarrobo","UNIDAD DE CONTRATACION HLA","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85101600","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","703,951,301"
"MUNICIPIO DE BELALCAZAR","890802650","Caldas","Belalcázar","Territorial","Centralizada","CO1.REQ.9673747","015-2026-CPAG","704661289","CO1.BDOS.9506395","ERSAIN DANOBER VALENCIA AGUDELO","PRESTACION DE SERVICIOS DE APOYO A LA GESTIÓN A LA SECRETARIA DE HACIENDA MUNICIPAL EN LA NOTIFICACION DE ACTOS ADMINISTRATIVOS QUE SE DERIVAN DE LOS PROCESOS DE COBRO COACTIVO Y DE ENTREGA DE FACTURACION A LOS CONTRUBUYENTES DE LOS IMPUESTOS DE PREDIAL UNIFICADO INDUSTRIA Y COMERCIO ESPACIOS PUBLICOS DEL SECTOR URBANO DEL MUNICIPIO DE BELALCAZAR CALDAS.",,,,,,,,,"$11,000,000","Contratación directa","Servicios profesionales y apoyo a la gestión","5","Mes(es)",,,,"No Aplica","AREA DE COMPRAS","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111701","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","704,661,289"
"INSTITUCION EDUCATIVA JUAN PABLO I","900001618","Norte de Santander","Cúcuta","Territorial","Centralizada","CO1.REQ.4880507","COLJUAN 011 - 2023_2","717872618","CO1.BDOS.4501939","COLJUAN 011 - 2023_2","CONTRATO DE SUMINISTRO PARA LA COMPRA DE ELEMENTOS DEPORTIVOS",,,,,,,,,"$5,000,000","Contratación régimen especial","Decreto 092 de 2017","8","día(s)",,,,"Cúcuta","PAGADURIA","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","UNSPECIFIED","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","717,872,618"
"Wentidad Westatal","900345018","No Definido","No Definido","Territorial","Centralizada","CO1.REQ.3071059","1106363322","708620232","CO1.BDOS.2988964","RESUMEN DE OBJETO","OBJETO",,,,,,,,,"$10,000,000","Contratación régimen especial (con ofertas)","Decreto 092 de 2017","10","Mes(es)","06/25/2022","06/28/2022",,"Bogotá","IED EJEMPLO","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80131500","Cerrado","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","708,620,232"
"SECRETARIA DE EDUCACION DEL DISTRITO","8999990619","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.5366932","SED-SCP-DEPB-PSP-(NO USAR)-2024.","701321135","CO1.BDOS.5250306","SED-SCP-DEPB-PSP-(NO USAR)-2024.","SED-SCP-DEPB-PSP-(NO USAR)-2024.",,,,,,,,,"$0","Contratación directa","Servicios profesionales y apoyo a la gestión","11","Mes(es)",,,,"Bogotá","DIRECCION DE CONTRATACION","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.93141506","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","701,321,135"
"INSTITUCION EDUCATVA LEOPOLDO LOPEZ","8001063811","Nariño","Colón","Nacional","Centralizada","CO1.REQ.4606074","cto202301","719726317","CO1.BDOS.4503627","siti soluciones sas","stro alquiler sofware de notas año 2023",,,,,,,,,"$748,500","Contratación régimen especial","Regla aplicable","7","Mes(es)",,,,"Colón","I.E.LEOPOLDO LOPEZ ALVAREZ","0","0","0","0","0","0","0","0","0","Aprobado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.43232305","Abierto","Suministros","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","719,726,317"
"AGENCIA DE DESARROLLO RURAL","900948958","Distrito Capital de Bogotá","No Definido","Nacional","Centralizada","CO1.REQ.4519503","NPAA3,,,","701551798","CO1.BDOS.4418064","Prestar servicios profesionales a la Agencia De Desarrollo Rural; para brindar apoyo en la formulación e implementación de estrategias de enfoque diferencial en las diferentes líneas misionales y proy","Prestar servicios profesionales a la Agencia De Desarrollo Rural, para brindar apoyo en la formulación e implementación de estrategias de enfoque diferencial en las diferentes líneas misionales y proyectos estratégicos de la Agencia",,,,,,,,,"$84,000,000","Contratación directa","Servicios profesionales y apoyo a la gestión","230","día(s)",,,,"Bogotá","VICEPRESIDENCIA DE GESTION CONTRACTUAL","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","701,551,798"
"(Secretaría Distrital de Integración Social)","8999990619","Distrito Capital de Bogotá","No Definido","Territorial","Centralizada","CO1.REQ.1898918","270201","702271321","CO1.BDOS.1846955","CONTRATO DE PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN","PRESTACIÓN DE SERVICIOS PARA APOYAR LOS PROCESOS DE IMPLEMENTACION Y SEGUIMIENTO A CARGO DE LA SUBDIRECCION PARA LA JUVENTUD, EN EL MARCO DE LA POLITICA PUBLICA DE JUVENTUD Y LA ESTRATEGIA RETO",,,,,,,,,"$23,058,000","Contratación directa","Servicios profesionales y apoyo a la gestión","270","día(s)",,,,"Bogotá","SUBDIRECCION DE CONTRATACION","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,271,321"
"ALCALDIA LOCAL DE SAN CRISTOBAL","899999061","Distrito Capital de Bogotá","Bogotá","Territorial","Centralizada","CO1.REQ.756621","FDLSC-CPS-111-2019","702179383","CO1.BDOS.734620","EL CONTRATISTA SE OBLIGA CON EL FONDO DE DESARROLLO LOCAL DE SAN CRISTOBAL A PRESTAR SERVICIOS PROFESIONALES PARA APOYAR JURIDICAMENTE LA EJECUCION DE LAS ACCIONES REQUERIDAS PARA LA DEPURACION","EL CONTRATISTA SE OBLIGA CON EL FONDO DE DESARROLLO LOCAL DE SAN CRISTOBAL A PRESTAR SERVICIOS PROFESIONALES PARA APOYAR JURIDICAMENTE LA EJECUCION DE LAS ACCIONES REQUERIDAS PARA LA DEPURACION DE LAS ACTUACIONES ADMINISTRATIVAS QUE CURSAN EN LA ALCALDIA LOCAL",,,,,,,,,"$33,250,000","Contratación directa","Servicios profesionales y apoyo a la gestión","7","Mes(es)",,,,"No Aplica","OFICINA DE CONTRATACION.","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.93151500","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","702,179,383"
"EMPRESA SOCIAL DEL ESTADO HOSPITAL CAMILO VILLAZON PUMAREJO","824002672","Cesar","Pueblo Bello","Territorial","Centralizada","CO1.REQ.5121702","003-2023","710585985","CO1.BDOS.5009681","PRESTACION DE SERVICIOS   PROFESIONALES  DE UN  MEDICO PARA  LA ATENCION DE TURNOS ADICIONALES","PRESTACION DE SERVICIOS   PROFESIONALES  DE UN  MEDICO PARA  LA ATENCION DE TURNOS ADICIONALES",,,,,,,,,"$4,000,000","Contratación régimen especial","Decreto 092 de 2017","5","Mes(es)",,,,"Pueblo Bello","Oficina Jurídica","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85101600","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","710,585,985"
"NUEVO HOSPITAL LA CANDELARIA DE PURIFICACION TOLIMA EMPRESA SOCIAL DEL ESTADO","890701353","Tolima","Purificación","Territorial","Centralizada","CO1.REQ.3757885","CD-0664-2022","703252007","CO1.BDOS.3661881","APOYO A LA GESTIÓN PARA MONITOREO RAPIDOE VACUNACIÓN.","CONTRATAR LA PRESTACIÓN DE SERVICIOS DE APOYO A LA GESTIÓN PARA UN MONITEREO RAPIDO DE COBERTURA DE VACUNACIÓN ANTIRRABIA, EN MARCO DEL CUMPLIMIENTO DENTRO DEL CONTRATO INTERADMIN ISTRATIVO CELEBRADO CON LA GOBERNACIÓN DEL TOLIMA, NÚMERO 2271 DE 2022.",,,,,,,,,"$3,500,000","Contratación régimen especial","Decreto 092 de 2017","21","día(s)",,,,"Purificación","OFICINA TALENTO HUMANO","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Decreto 092 de 2017","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","703,252,007"
"SENA REGIONAL CESAR Grupo de Apoyo Administrativo Mixto","899999034","Cesar","No Definido","Nacional","Descentralizada","CO1.REQ.7158986","PSP-CSR-CBC-0232-2024","704154335","CO1.BDOS.7024764","ORIENTADORA PROGRAMA DESPLAZADOS","Prestación de servicios profesionales de carácter temporal para realizar actividades de ORIENTADORA en la Coordinación Académica de Programas Especiales - Programa Desplazados - en el Centro Biotecnológico del Caribe del Sena Regional Cesar.",,,,,,,,,"$6,448,400","Contratación directa","Servicios profesionales y apoyo a la gestión","47","día(s)",,,,"No Aplica","UNIDAD DE CONTRATACIÓN CBC..","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.80111600","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","704,154,335"
"ESE HOSPITAL LOCAL CARTAGENA DE INDIAS.*","806010305","Bolívar","Cartagena","Territorial","Centralizada","CO1.REQ.6717031","CTCAOPS161-24","709192637","CO1.BDOS.6590537","PRESTACIÓN DE LOS SERVICIOS PROFESIONALES COMO ENFERMERA (O) DEL EQUIPO BASICO DE SALUD; PARA EL DESARROLLO DE LAS ACTIVIDADES CONTENIDAS EN EL LINEAMIENTO DEL FORTALECIMIENTO DE LA GESTION TERRITORIA","PRESTACIÓN DE LOS SERVICIOS PROFESIONALES COMO ENFERMERA (O) DEL EQUIPO BASICO DE SALUD, PARA EL DESARROLLO DE LAS ACTIVIDADES CONTENIDAS EN EL LINEAMIENTO DEL FORTALECIMIENTO DE LA GESTION TERRITORIAL EN APS",,,,,,,,,"$12,064,000","Contratación régimen especial","Regla aplicable","2","Mes(es)",,,,"No Aplica","SUBGERENCIA ADMINISTRATIVA Y FINANCIERA","0","0","0","0","0","0","0","0","0","Borrador","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.85121600","Abierto","Otro","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","709,192,637"
"INSTITUTO DE DEPORTES Y RECREACION DE MEDELLIN","800194096","Antioquia","Medellín","Territorial","Centralizada","CO1.REQ.4602809","27000","700774011","CO1.BDOS.4499638","PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN COMO FORMADOR (A) TÉCNICO 2; DE LA ESTRATEGIA RECREANDO NUESTROS BARRIOS Y CORREGIMIENTOS; DE LA SUBDIRECIÓN DE FOMENTO DEPORTIVO Y RECREATIVO DEL INDER DE","PRESTAR LOS SERVICIOS DE APOYO A LA GESTIÓN COMO FORMADOR (A) TÉCNICO 2, DE LA ESTRATEGIA RECREANDO NUESTROS BARRIOS Y CORREGIMIENTOS, DE LA SUBDIRECIÓN DE FOMENTO DEPORTIVO Y RECREATIVO DEL INDER DE MEDELLÍN",,,,,,,,,"$13,508,352","Contratación directa","Servicios profesionales y apoyo a la gestión","144","día(s)",,,,"Medellín","SUBDIRECCION DE FOMENTO DEPORTIVO Y RECREATIVO","0","0","0","0","0","0","0","0","0","Cancelado","0","No","No Adjudicado","No Definido","No Definido","No Definido",,"$0","No Adjudicado","No Definido","No Definido","V1.86101808","Abierto","Prestación de servicios","No Definido","No definido","https://community.secop.gov.co/STS/Users/Login/Index","700,774,011"
